accuracy,precision,recall,f1,fpr,tp,fp,fn,tn,method,status,block_reason,evaluated_samples,auroc,auprc,p50_ms,p95_ms,p99_ms,throughput_docs_per_s
0.5423728813559322,0.0,0.0,0.0,0.0,0,0,54,64,KEYWORD_BASELINE,ok,,118,0.7152777777777778,0.928223574142607,0.004125,0.005042,0.005709,227886.33493111268
0.5932203389830508,1.0,0.1111111111111111,0.19999999999999998,0.0,6,0,48,64,PERPLEXITY_BASELINE,ok,,118,0.6111111111111112,0.8348661880460635,0.005875,0.007666,0.008083,168092.12588105915
,,,,,,,,,LLM_ONLY_DEEPSEEK_REMOTE,blocked,DEEPSEEK_API_KEY/MASW_RUN_REMOTE_BASELINES not configured; network/API experiment not executed,0,,,,,,
0.7796610169491526,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.125,36,8,18,56,AGENTARMOR_COMPLETE,ok,,118,0.8819444444444444,0.9075316302863894,0.005,0.006833,0.007792,193127.60333554287
0.7796610169491526,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.125,36,8,18,56,AGENTARMOR_MINUS_HIDDEN_REGION,ok,,118,0.8819444444444444,0.9075316302863894,0.0045,0.005875,0.006459,221804.09435320614
0.7796610169491526,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.125,36,8,18,56,AGENTARMOR_MINUS_RETRIEVAL,ok,,118,0.8680555555555556,0.9075316302863894,0.004208,0.00575,0.006791,229384.54958982932
