config,accuracy,precision,recall,f1,fpr,tp,fp,fn,tn,poisoned_shared_memory_write_rate,cross_agent_propagation_rate,dangerous_execution_rate,revocation_effectiveness,benign_collaboration_success_rate,per_agent_p50_ms,global_throughput_cases_per_s
NO_DEFENSE,0.47058823529411764,0.0,0.0,0.0,0.0,0,0,72,64,1.0,1.0,1.0,0.0,1.0,0.214875,2229.6999509170905
D3_ONLY,0.5735294117647058,0.6521739130434783,0.4166666666666667,0.5084745762711865,0.25,30,16,42,48,0.5833333333333334,0.5833333333333334,1.0,0.0,1.0,0.2457915,2067.357580610338
D4_ONLY,0.7058823529411765,0.75,0.6666666666666666,0.7058823529411765,0.25,48,16,24,48,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,0.2369165,2229.324186110212
D3_D4,0.7058823529411765,0.75,0.6666666666666666,0.7058823529411765,0.25,48,16,24,48,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,0.2768545,1943.910131205072
COMPLETE_AGENTARMOR,0.8823529411764706,0.8181818181818182,1.0,0.9,0.25,72,16,0,48,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3076455,1702.5075382276787
