scenario,module,status,dataset,config,precision,recall,f1,fpr,p95_ms,unit_tests,command,artifact,note
Type1,AutoWrite,completed,120 samples,Config-5_Full,1.000,0.312,0.476,0.000,0.24,42 passed,python3 -m AgentArmor.AutoWrite.tests.eval_autowrite --mode mock,/private/tmp/agentarmor_zip_audit/AgentArmor-main-2/AutoWrite/tests/results/metrics_table.txt,Local deterministic mock mode; no remote LLM call.
Type2,MINJA,completed,120 samples plus retrieval scenarios,Config-5 ALL,1.000,1.000,1.000,0.000,0.2,52 passed,python3 -m MINJA.tests.eval_minja --mode mock,/private/tmp/agentarmor_zip_audit/AgentArmor-main-2/MINJA/tests/results/metrics_table.txt,Local deterministic mock mode; Config-5 is the full local configuration.
Type3,Reflection,completed,reflection seed plus retrieval scenarios,Config-6 ALL,0.815,1.000,0.898,0.250,,15 passed,python3 -m Reflection.tests.eval_reflection,/private/tmp/agentarmor_zip_audit/AgentArmor-main-2/Reflection/tests/results/metrics_table.txt,Local deterministic evaluation; Config-6 enables strict retrieval defense.
